Designator,Footprint,Quantity,Value,LCSC Part #
"C7, C8, C9",0805,3,0.1uF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B_5050,
D4,0805,1,LED,
J1,PinHeader_1x06_P2.54mm_Horizontal,1,Sensor Board Connector,
R13,0805,1,330R,
R14,0805,1,220R,
U1,SOIC8,1,AS5600,
U2,SOT95P237X112-3N,1,DRV5032ZEDBZR,
