Designator,Mid X,Mid Y,Rotation,Layer
C7,154.178,-101.1135,270.0,bottom
C8,141.982941,-96.518671,180.0,bottom
C9,151.3625,-93.218,180.0,bottom
D1,157.062,-93.346,0.0,top
D4,140.716,-114.57,270.0,top
H1,158.5,-109.0,0.0,top
H2,141.5,-109.0,0.0,top
J1,152.908,-115.57,270.0,top
R13,158.496,-100.838,0.0,top
R14,143.51,-114.57,90.0,bottom
U1,149.25,-100.0,0.0,bottom
U2,142.0,-100.0,0.0,top
