"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C7,C8,C9","3","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","WS2812B_5050","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn.sparkfun.com/datasheets/BreakoutBoards/WS2812B.pdf"
"D4","1","LED","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J1","1","Sensor Board Connector","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal",""
"R13","1","330R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R14","1","220R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1","1","AS5600","","","","AS5600:SOIC8",""
"U2","1","DRV5032ZEDBZR","","","","DRV5032FBDBZR:SOT95P237X112-3N",""
