"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C7","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D4","1","LED","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J1","1","Main Connector","","","","PCM_SparkFun-Connector:JST_1x04_P2.0mm_Horizontal_PTH","https://www.sparkfun.com/datasheets/Prototyping/ePH.pdf"
"J2","1","Programming","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J3","1","LED","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"R13,R14","2","4.7k","DNP","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R15","1","330R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R16","1","220R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1","1","AS5600","","","","AS5600:SOIC8",""
