Designator,Footprint,Quantity,Value,LCSC Part #
C7,0805,1,0.1uF,
D4,0805,1,LED,
J1,JST_1x04_P2.0mm_Horizontal_PTH,1,Main Connector,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Programming,
J3,PinSocket_1x03_P2.54mm_Vertical,1,LED,
"R13, R14",0805,2,4.7k,
R15,0805,1,330R,
R16,0805,1,220R,
U1,SOIC8,1,AS5600,
